target,n,binders,auroc,auprc
der7,3,1,1.0,1.0
fcrn,3,1,1.0,1.0
fgf-r1,3,1,1.0,1.0
human-mzb1-perp1,5,2,1.0,1.0
ifnar2,3,1,1.0,1.0
pd-l1,11,6,1.0,1.0
nipah-glycoprotein-g,155,16,0.9820143884892086,0.8881412851217083
egfr,124,19,0.8596491228070174,0.7397880170522873
human-insulin-receptor,5,3,0.8333333333333333,0.9166666666666665
il7r,15,10,0.74,0.868034188034188
mdm2,4,1,0.6666666666666667,0.5
human-pdgfr-beta,5,3,0.5,0.6388888888888888
spcas9,3,2,0.5,0.8333333333333333
human-pmvk,4,1,0.33333333333333337,0.3333333333333333
human-phyh,2,1,0.0,0.5
