model,split,auroc,auprc,f1,mcc
AdvancedMLP_ESM2+HC,val,0.8343545751633988,0.560518156983296,0.35789473684210527,0.3276513680846008
MultiTaskMLP_ESM2+HC,val,0.8231436092955701,0.5547628656406682,0.29545454545454547,0.2918054765083864
TargetAwareMLP_ESM2+HC,val,0.889569716775599,0.6681232180275627,0.5546218487394958,0.4836921178336176
ESM2_Finetuned,val,0.8205337690631808,0.5309114666838869,0.5196850393700787,0.4289280791082578
ESM2_Finetuned+HC,val,0.8043527596223674,0.5212150296791779,0.4909090909090909,0.42941922576858965
AdvancedMLP_ESM2+HC,test,0.7550861079219288,0.457309353178582,0.3541666666666667,0.3118190234729655
MultiTaskMLP_ESM2+HC,test,0.7539150401836969,0.46284410314125923,0.35555555555555557,0.34801403999299274
TargetAwareMLP_ESM2+HC,test,0.8427324913892077,0.5612559613161872,0.528,0.4406383244757136
ESM2_Finetuned,test,0.8536854190585534,0.5971884946408669,0.5344827586206896,0.463607521226634
ESM2_Finetuned+HC,test,0.8114580941446613,0.5330308644133759,0.5,0.4427160616029533
