target,n,n_pos,auroc_with_proto,auroc_no_proto,auprc_with_proto,auprc_no_proto,f1_with_proto,mcc_with_proto
der21,16,4,0.8333333333333334,0.875,0.5595238095238095,0.7986111111111112,0.0,0.0
der7,20,5,0.5,0.5266666666666666,0.25,0.27964285714285714,0.0,0.0
egfr,826,128,0.6153463019340975,0.5591869627507163,0.20506312621430647,0.18147967009660193,0.0,0.0
fcrn,24,6,0.7361111111111112,0.5601851851851852,0.4343915343915344,0.32107843137254904,0.0,0.0
fgf-r1,20,7,0.532967032967033,0.5384615384615384,0.37142857142857144,0.4523809523809524,0.0,0.0
hnmt,30,2,0.5,0.8035714285714286,0.06666666666666667,0.5714285714285714,0.0,0.0
human-ambp,30,5,0.58,0.6880000000000001,0.24210526315789474,0.4116883116883117,0.0,0.0
human-gm2a,30,0,,,,,,
human-idi2,30,5,0.668,0.544,0.3055860805860806,0.2019938884644767,0.0,0.0
human-insulin-receptor,35,21,0.45578231292517013,0.7891156462585034,0.6248052844326137,0.8061293776769967,0.0,0.0
human-mzb1-perp1,30,15,0.8177777777777777,0.8933333333333333,0.8002910052910052,0.8533478667302197,0.0,0.0
human-orm2,30,0,,,,,,
human-pdgfr-beta,30,18,0.5787037037037037,0.6296296296296297,0.6365682075714636,0.7856908058021318,0.0,0.0
human-phyh,12,6,0.7361111111111112,1.0,0.7986111111111112,1.0,0.0,0.0
human-pmvk,30,10,0.7275,0.28500000000000003,0.706780303030303,0.25960975881347936,0.0,0.0
human-rfk,30,2,0.8482142857142857,0.7321428571428572,0.26666666666666666,0.23333333333333334,0.0,0.0
human-serum-albumin,103,0,,,,,,
human-tnfa,35,0,,,,,,
ifnar2,20,8,0.5625,0.5729166666666666,0.450421626984127,0.470687134502924,0.0,0.0
il7r,97,62,0.5709677419354838,0.6013824884792627,0.7004767718659527,0.7659617248810029,0.0,0.0
mdm2,27,8,0.38815789473684215,0.5032894736842105,0.2803596866096866,0.4692760942760943,0.0,0.0
nipah-glycoprotein-g,1030,103,0.6987568207287314,0.6160649762780029,0.23987709005846827,0.14447985436352073,0.0,0.0
pd-l1,75,39,0.5,0.7115384615384616,0.52,0.7063987173075883,0.0,0.0
spcas9,20,14,0.761904761904762,0.7380952380952381,0.876307191383485,0.8624941643323996,0.0,0.0
