feature,mean_abs,is_proto,rank
proto_ratio,1.3250793025323124,True,1
method_success_rate,0.589177559247825,False,2
proto_disc_proj,0.5570868674983885,True,3
proto_l2_pos,0.30147085448605127,True,4
esmfold_plddt,0.2873790629354026,False,5
proto_cos_pos,0.24320712443595374,True,6
instability_index,0.2203447415554925,False,7
dpc_VV,0.19615475597666643,False,8
proto_n_neg,0.1960839575968503,True,9
proteinmpnn_score,0.1795854585772306,False,10
dpc_VK,0.14229309057777106,False,11
dpc_FE,0.12723847573727678,False,12
aac_D,0.12234028765317993,False,13
dpc_LA,0.11858454246508879,False,14
proto_cos_neg,0.11247053533419389,True,15
aac_T,0.1026602817820482,False,16
dpc_FL,0.10259282673152785,False,17
isoelectric_point,0.10125071541114553,False,18
molecular_weight,0.10091306998793749,False,19
dpc_DY,0.08767842029817126,False,20
aac_W,0.08099545140219484,False,21
dpc_IT,0.07523375658066574,False,22
charge_ph7,0.0685994008777101,False,23
cf_turn,0.06651817549960543,False,24
dpc_GG,0.0653637371768929,False,25
if_aac_I,0.06504154932592618,False,26
dpc_YE,0.06135409019299709,False,27
aromaticity,0.06046271439226871,False,28
aac_G,0.059058740565865776,False,29
dpc_GI,0.058872197497339886,False,30
dpc_AI,0.05796857758820115,False,31
redesigned_proteinmpnn_score,0.057921842176201346,False,32
dpc_FA,0.05695296393771632,False,33
dpc_RK,0.05683321592019132,False,34
dpc_EV,0.05663385764883971,False,35
proto_n_pos,0.0544036487493338,True,36
dpc_KN,0.05330493614557532,False,37
dpc_EL,0.05200525827402846,False,38
dpc_GS,0.0515709591761751,False,39
dpc_KT,0.051292950644189435,False,40
dpc_KL,0.04988833611728588,False,41
dpc_SY,0.04849794428936386,False,42
dpc_GE,0.04818737749281222,False,43
dpc_GA,0.047516312201246705,False,44
aac_L,0.04607783805945054,False,45
aac_R,0.04381865014326643,False,46
cf_sheet,0.04213669630356109,False,47
dpc_NY,0.04120934457707049,False,48
dpc_DI,0.04096092606931405,False,49
dpc_DL,0.040713650335479475,False,50
aac_V,0.039948347122535525,False,51
seq_length,0.03880701853130393,False,52
dpc_QV,0.03793191646800505,False,53
dpc_NG,0.03793120118840438,False,54
aac_E,0.03791500846188308,False,55
dpc_VR,0.03778206253065545,False,56
aac_S,0.03721221017553079,False,57
dpc_YG,0.03609033590421337,False,58
dpc_LV,0.03563964852330254,False,59
dpc_LT,0.035272783687377074,False,60
dpc_PD,0.034952889701184056,False,61
proteinmpnn_seq_recovery,0.034859533401030984,False,62
aac_H,0.03481410864988635,False,63
aac_F,0.03478984071987203,False,64
dpc_WE,0.03473615290033562,False,65
dpc_TA,0.03457711831091015,False,66
dpc_VF,0.034386594328055305,False,67
dpc_YA,0.03404472401271545,False,68
aac_I,0.03355205192236865,False,69
dpc_RA,0.031089967180776563,False,70
dpc_HH,0.030955000948264217,False,71
aac_Y,0.030305955450557146,False,72
