target,n,binders,auroc_base,auprc_base,auroc_tgt,auprc_tgt,d_auroc
nipah-glycoprotein-g,1030,103,0.31117185618081084,0.06746743280380885,0.46052094133911453,0.09378410145222782,0.1493490851583037
egfr,826,128,0.5702789219197708,0.18033924172430574,0.5943208273638969,0.19796200753483492,0.0240419054441261
il7r,97,62,0.6350230414746543,0.770417552379625,0.687557603686636,0.8012156976561051,0.05253456221198172
pd-l1,75,39,0.698005698005698,0.675952167762058,0.811965811965812,0.7712042338881562,0.11396011396011396
human-insulin-receptor,35,21,0.6156462585034014,0.7019594014656279,0.48639455782312924,0.584687324462073,-0.12925170068027214
human-pdgfr-beta,30,18,0.513888888888889,0.6944444753771322,0.5046296296296295,0.6216067202261696,-0.009259259259259411
hnmt,30,2,0.6964285714285714,0.22549019607843135,0.6607142857142857,0.5476190476190477,-0.0357142857142857
human-ambp,30,5,0.752,0.3609649122807017,0.504,0.18813797313797315,-0.248
human-idi2,30,5,0.384,0.16295238095238096,0.392,0.16940339354132455,0.008000000000000007
human-mzb1-perp1,30,15,0.8133333333333334,0.7754979116743822,0.8355555555555556,0.8281394726131568,0.022222222222222254
human-pmvk,30,10,0.44999999999999996,0.34588855442802807,0.505,0.3642287157287157,0.05500000000000005
human-rfk,30,2,0.7142857142857143,0.19166666666666665,0.5535714285714286,0.11904761904761904,-0.1607142857142857
mdm2,27,8,0.4144736842105263,0.4652742165242165,0.42105263157894735,0.4543878846004805,0.006578947368421018
fcrn,24,6,0.39814814814814814,0.23584656084656083,0.32407407407407407,0.20884464399910624,-0.07407407407407407
spcas9,20,14,0.8214285714285715,0.9083935905364475,0.7261904761904762,0.8437694075299117,-0.09523809523809534
ifnar2,20,8,0.31250000000000006,0.3413651315789473,0.25,0.315765516733009,-0.06250000000000006
der7,20,5,0.56,0.44429971988795514,0.52,0.4226984126984127,-0.040000000000000036
fgf-r1,20,7,0.40659340659340654,0.3221673284698495,0.2857142857142857,0.2860012585576496,-0.12087912087912084
der21,16,4,0.6874999999999999,0.5262896825396826,0.7083333333333333,0.6785714285714286,0.02083333333333337
human-phyh,12,6,0.6666666666666667,0.6801587301587302,0.5277777777777778,0.6160714285714285,-0.13888888888888895
