target,n,binders,auroc,auprc
nipah-glycoprotein-g,1030,103,0.4420355882322138,0.09787525469255445
egfr,826,128,0.5203483166189112,0.19014053844312237
il7r,97,62,0.5460829493087557,0.6840522602341148
pd-l1,75,39,0.7264957264957265,0.6966804544069957
human-insulin-receptor,35,21,0.2789115646258503,0.49256323061904006
human-rfk,30,2,0.75,0.1736111111111111
human-mzb1-perp1,30,15,0.24444444444444444,0.4316980134422334
human-pmvk,30,10,0.29000000000000004,0.2653337256417334
human-pdgfr-beta,30,18,0.47685185185185186,0.6426157008000626
hnmt,30,2,0.5892857142857143,0.21014492753623187
human-idi2,30,5,0.608,0.2587719298245614
human-ambp,30,5,0.704,0.2800356506238859
mdm2,27,8,0.4473684210526316,0.4608389295889296
fcrn,24,6,0.5185185185185185,0.29584500466853403
ifnar2,20,8,0.30208333333333337,0.4140027966314731
der7,20,5,0.6933333333333334,0.6240384615384615
spcas9,20,14,0.6785714285714286,0.8574616676507432
fgf-r1,20,7,0.7472527472527473,0.6757936507936508
der21,16,4,0.6458333333333333,0.3929924242424242
human-phyh,12,6,0.36111111111111105,0.46974506974506974
