target,n,binders,auroc,auprc
nipah-glycoprotein-g,1030,103,0.5378452257517202,0.10286253546498264
egfr,826,128,0.536544143982808,0.1813612100310842
il7r,97,62,0.587557603686636,0.6953092113630875
pd-l1,75,39,0.6260683760683761,0.6372182629890009
human-insulin-receptor,35,21,0.49319727891156456,0.6314505644529886
human-rfk,30,2,0.32142857142857145,0.07125000000000001
human-mzb1-perp1,30,15,0.6222222222222221,0.7670992519613209
human-pmvk,30,10,0.5800000000000001,0.4434383753501401
human-pdgfr-beta,30,18,0.4537037037037037,0.6283983617920816
hnmt,30,2,0.4642857142857143,0.09090909090909091
human-idi2,30,5,0.712,0.30384370015948964
human-ambp,30,5,0.728,0.3434343434343434
mdm2,27,8,0.39473684210526316,0.44308892496392493
fcrn,24,6,0.31481481481481477,0.20746246566259355
ifnar2,20,8,0.46875,0.5118196131354025
der7,20,5,0.5733333333333334,0.3279761904761904
spcas9,20,14,0.5595238095238095,0.7396045247936005
fgf-r1,20,7,0.8021978021978021,0.6375850340136053
der21,16,4,0.7083333333333333,0.42424242424242425
human-phyh,12,6,0.38888888888888884,0.5608164983164983
