name,category,iptm,ptm,iplddt,conf
binder_0,binder,0.865,0.698,0.9,0.886
binder_1,binder,0.941,0.723,0.922,0.906
binder_2,binder,0.938,0.724,0.919,0.903
binder_3,binder,0.913,0.727,0.924,0.907
designed_0,designed,0.788,0.682,0.86,0.844
nonbinder_0,nonbinder,0.92,0.715,0.911,0.901
nonbinder_1,nonbinder,0.932,0.729,0.916,0.9
nonbinder_2,nonbinder,0.615,0.654,0.803,0.79
nonbinder_3,nonbinder,0.175,0.51,0.791,0.703
scrambled_0,scrambled,0.285,0.554,0.689,0.673
scrambled_1,scrambled,0.394,0.579,0.7,0.693
scrambled_2,scrambled,0.172,0.528,0.726,0.671
