target,label,prob,n_cited,n_grounded,n_hall,top1,top1_cited
egfr,0,0.08,5,4,1,proto_ratio,True
human-gm2a,0,0.002,8,6,2,proto_ratio,True
pd-l1,1,0.667,8,7,1,proto_ratio,True
egfr,0,0.051,3,3,0,method_success_rate,False
egfr,0,0.129,5,5,0,proto_ratio,True
pd-l1,0,0.226,3,3,0,proto_disc_proj,False
egfr,1,0.283,4,4,0,proto_ratio,True
human-pmvk,1,0.544,6,5,1,proto_ratio,True
nipah-glycoprotein-g,1,0.127,4,4,0,method_success_rate,False
der7,0,0.093,3,3,0,proto_ratio,True
pd-l1,1,0.702,4,4,0,proto_ratio,True
fgf-r1,1,0.062,4,4,0,proto_ratio,True
nipah-glycoprotein-g,0,0.029,5,4,1,proto_ratio,True
egfr,1,0.16,4,4,0,proto_ratio,True
egfr,0,0.037,6,5,1,method_success_rate,False
nipah-glycoprotein-g,1,0.412,7,6,1,proto_disc_proj,True
human-mzb1-perp1,0,0.03,5,4,1,proto_ratio,True
egfr,0,0.028,5,4,1,proto_disc_proj,True
human-insulin-receptor,0,0.935,6,4,2,proto_ratio,True
der7,1,0.332,5,4,1,proto_l2_pos,False
pd-l1,1,0.726,7,6,1,proto_ratio,True
egfr,0,0.02,4,3,1,proto_ratio,True
human-pmvk,1,0.574,5,5,0,proto_ratio,True
egfr,1,0.257,4,3,1,proto_ratio,True
