split,fold,n_test,n_test_binders,auroc
leave-author-out,0,526,114,0.5718
leave-author-out,1,526,58,0.8609
leave-author-out,2,526,77,0.7665
leave-author-out,3,526,121,0.7984
leave-author-out,4,526,98,0.8098
leave-author-out,MEAN,308,,0.7615
leave-author-out,SD,,,0.0996
leave-design_method-out,0,1079,132,0.7452
leave-design_method-out,1,531,105,0.5275
leave-design_method-out,2,340,58,0.5933
leave-design_method-out,3,340,94,0.7771
leave-design_method-out,4,340,79,0.8696
leave-design_method-out,MEAN,103,,0.7025
leave-design_method-out,SD,,,0.1248
leave-one-method-out,unknown,1079,132,0.7452
leave-one-method-out,boltzgen,531,105,0.5275
leave-one-method-out,bindcraft,170,40,0.5242
leave-one-method-out,rfdiffusion,110,38,0.8629
leave-one-method-out,protrl,91,35,0.7184
leave-one-method-out,dsm-synteract,59,26,0.8205
leave-one-method-out,mosaic,57,41,0.7409
leave-one-method-out,MEAN,7,,0.7057
