feature,mean_abs_shap,group
method_success_rate,0.8686814,design_method
method_other,0.35650262,design_method
esmfold_plddt,0.3393196,precomputed_seq
shape_complimentarity_boltz2_binder_ss,0.24276344,boltz2
proteinmpnn_score,0.24081276,precomputed_seq
instability_index,0.19488241,physicochemical
isoelectric_point,0.17884268,precomputed_seq
dpc_KL,0.17444485,dipeptide
aac_D,0.17135863,aa_composition
dpc_VV,0.16802418,dipeptide
dpc_NL,0.15550481,dipeptide
aac_W,0.15282096,aa_composition
aac_T,0.1512143,aa_composition
dpc_DY,0.13853084,dipeptide
dpc_LA,0.1333983,dipeptide
boltz2_iptm,0.12141925,boltz2
dpc_FE,0.11346659,dipeptide
dpc_LT,0.11182842,dipeptide
aac_H,0.111206785,aa_composition
boltz2_complex_iplddt,0.11111448,boltz2
aromaticity,0.1074297,physicochemical
dpc_EL,0.102918565,dipeptide
dpc_LG,0.101474576,dipeptide
aac_R,0.100754894,aa_composition
aac_N,0.09817755,aa_composition
aac_G,0.09657724,aa_composition
dpc_FV,0.091320485,dipeptide
cf_sheet,0.08468766,physicochemical
dpc_YA,0.08282103,dipeptide
gravy,0.08220853,physicochemical
aac_F,0.08210456,aa_composition
dpc_DL,0.08162636,dipeptide
dpc_GG,0.08138678,dipeptide
dpc_YE,0.08015918,dipeptide
dpc_KN,0.07834206,dipeptide
redesigned_proteinmpnn_score,0.077993505,precomputed_seq
dpc_AK,0.07302204,dipeptide
aac_V,0.072217084,aa_composition
charge_ph7,0.07204611,physicochemical
dpc_VI,0.071313724,dipeptide
dpc_ER,0.07101621,dipeptide
aac_L,0.06948971,aa_composition
dpc_EG,0.06826105,dipeptide
dpc_SE,0.067686096,dipeptide
dpc_GA,0.06703223,dipeptide
dpc_KK,0.06413577,dipeptide
dpc_YL,0.06404137,dipeptide
boltz2_complex_plddt,0.062625065,boltz2
dpc_LV,0.06251833,dipeptide
cf_turn,0.059736345,physicochemical
dpc_EV,0.059621885,dipeptide
dpc_DV,0.05904919,dipeptide
aac_K,0.056162436,aa_composition
boltz2_min_ipsae,0.05450633,boltz2
dpc_SA,0.054035474,dipeptide
dpc_AE,0.052908663,dipeptide
dpc_SS,0.052377887,dipeptide
dpc_FS,0.05222968,dipeptide
dpc_KY,0.05219897,dipeptide
aac_E,0.05192273,aa_composition
